Gender,Age,Construction_type,New_construction,Elevator,Floors_in_the_building,Floor_area,Number_of_rooms,Number_of_bathrooms,Ceiling_height,Floor,Balcony,Furniture,Renovation,Children_are_welcome,Pets_allowed,Utility_payments,Address,Price,Duration,amenities,appliances,parking
1,19,7,1.0,1.0,17.0,43.0,1.0,1.0,3.0,11.0,open_balcony,1,designer_renovation,1.0,1.0,0.0,663,900.0,1,-1,-1,-1
1,24,9,0.0,0.0,5.0,100.0,4.0,2.0,2.8,3.0,closed_balcony,1,major_renovation,2.0,2.0,0.0,3390,300000.0,1,14,10,5
0,34,8,0.0,1.0,10.0,50.0,2.0,1.0,2.75,6.0,0,,euro_renovation,11.0,10.0,10.0,1256,250000.0,1,-1,-1,-1
1,44,9,0.0,0.0,5.0,55.0,2.0,1.0,2.8,2.0,0,1,major_renovation,2.0,0.0,1.0,1577,16000.0,0,-1,-1,-1
1,64,9,0.0,0.0,5.0,60.0,3.0,1.0,2.75,4.0,0,,partial_renovation,11.0,10.0,10.0,2460,250000.0,1,-1,-1,-1
1,30,9,0.0,0.0,5.0,80.0,3.0,1.0,2.8,5.0,0,1,euro_renovation,1.0,1.0,0.0,2460,300000.0,1,-1,-1,-1
0,46,7,0.0,1.0,12.0,26.0,1.0,1.0,3.2,1.0,0,2,euro_renovation,2.0,0.0,0.0,4168,125000.0,1,-1,-1,-1
1,50,9,0.0,0.0,3.0,100.0,4.0,1.0,2.8,1.0,0,,cosmetic_renovation,11.0,10.0,10.0,608,250000.0,1,-1,-1,-1
1,44,7,1.0,1.0,14.0,85.0,2.0,1.0,3.0,4.0,closed_balcony,1,major_renovation,1.0,0.0,0.0,3246,350000.0,1,14,138,5
0,60,9,0.0,0.0,5.0,65.0,2.0,1.0,3.0,2.0,0,1,major_renovation,1.0,0.0,1.0,2736,400000.0,1,12,111,5
0,21,8,0.0,1.0,9.0,88.0,3.0,1.0,2.8,3.0,open_balcony,,designer_renovation,11.0,10.0,10.0,1624,40000.0,0,-1,-1,-1
1,66,9,0.0,0.0,5.0,95.0,3.0,1.0,2.75,2.0,closed_balcony,1,major_renovation,1.0,0.0,0.0,1272,1500.0,1,-1,-1,-1
0,27,9,0.0,0.0,4.0,65.0,2.0,1.0,2.8,4.0,open_balcony,1,partial_renovation,2.0,2.0,0.0,2719,170000.0,1,-1,-1,-1
0,32,9,0.0,0.0,5.0,50.0,2.0,1.0,2.8,3.0,0,,cosmetic_renovation,11.0,10.0,10.0,444,170000.0,1,-1,-1,-1
1,57,9,0.0,0.0,5.0,95.0,3.0,1.0,2.8,5.0,0,1,designer_renovation,1.0,1.0,0.0,947,1200.0,1,14,58,-1
0,51,9,0.0,1.0,6.0,65.0,3.0,1.0,2.8,6.0,0,1,major_renovation,2.0,2.0,0.0,1272,330000.0,1,-1,-1,-1
1,65,8,0.0,1.0,10.0,90.0,3.0,1.0,2.75,9.0,open_balcony,1,partial_renovation,2.0,2.0,0.0,3483,220000.0,1,-1,-1,-1
1,66,9,0.0,0.0,5.0,32.0,1.0,1.0,2.8,1.0,0,,cosmetic_renovation,11.0,10.0,10.0,608,150000.0,1,-1,-1,-1
0,26,8,0.0,1.0,9.0,60.0,3.0,1.0,2.8,7.0,0,1,major_renovation,1.0,1.0,0.0,2292,250000.0,1,-1,-1,-1
0,51,9,0.0,0.0,5.0,42.0,2.0,1.0,2.7,4.0,closed_balcony,1,cosmetic_renovation,1.0,2.0,0.0,1031,150000.0,1,9,159,5
0,35,7,0.0,1.0,8.0,66.0,2.0,1.0,2.75,4.0,closed_balcony,1,cosmetic_renovation,1.0,0.0,0.0,2167,300000.0,1,-1,-1,-1
0,66,7,1.0,1.0,5.0,64.0,3.0,1.0,3.0,4.0,0,1,major_renovation,1.0,1.0,0.0,1074,400000.0,1,14,177,-1
1,63,9,0.0,0.0,3.0,47.0,2.0,2.0,3.2,2.0,0,,euro_renovation,11.0,10.0,10.0,1558,300000.0,1,-1,-1,-1
1,57,8,0.0,1.0,11.0,70.0,2.0,1.0,2.75,5.0,0,1,major_renovation,1.0,0.0,1.0,147,18000.0,0,11,79,-1
1,66,9,0.0,0.0,5.0,77.0,3.0,1.0,2.75,1.0,closed_balcony,1,major_renovation,1.0,2.0,0.0,2333,300000.0,1,12,167,5
0,66,8,0.0,1.0,6.0,21.0,1.0,1.0,2.7,6.0,closed_balcony,1,cosmetic_renovation,0.0,0.0,0.0,976,180000.0,1,9,77,5
1,61,9,0.0,0.0,4.0,30.0,1.0,1.0,3.0,2.0,open_balcony,1,cosmetic_renovation,2.0,2.0,0.0,3483,200000.0,1,-1,-1,-1
0,61,9,0.0,0.0,5.0,65.0,2.0,1.0,3.0,2.0,0,1,major_renovation,1.0,0.0,1.0,2736,400000.0,1,11,127,5
0,67,7,1.0,1.0,12.0,45.0,2.0,1.0,2.8,4.0,0,1,major_renovation,1.0,0.0,2.0,4277,450000.0,1,14,171,5
1,34,7,1.0,1.0,18.0,65.0,2.0,1.0,3.0,13.0,open_balcony,1,designer_renovation,1.0,0.0,0.0,1422,700000.0,1,11,4,-1
0,35,7,1.0,1.0,15.0,60.0,2.0,1.0,3.0,10.0,open_balcony,1,designer_renovation,1.0,0.0,0.0,1634,500000.0,1,11,4,-1
1,53,7,1.0,1.0,15.0,53.0,2.0,1.0,3.0,11.0,open_balcony,1,euro_renovation,1.0,0.0,0.0,1633,1500.0,1,11,58,-1
1,61,7,1.0,1.0,13.0,45.0,2.0,1.0,3.0,11.0,0,1,designer_renovation,1.0,0.0,0.0,4277,450000.0,1,-1,-1,-1
1,24,7,1.0,1.0,15.0,65.0,2.0,1.0,3.0,8.0,open_balcony,1,designer_renovation,1.0,0.0,0.0,661,650000.0,1,11,130,5
1,65,9,0.0,0.0,3.0,40.0,1.0,1.0,3.5,2.0,open_balcony,partial_furniture,partial_renovation,0.0,0.0,2.0,2958,100000.0,1,4,21,5
1,39,9,0.0,0.0,5.0,100.0,3.0,2.0,2.8,5.0,multiple_balconies,1,no_renovation,2.0,0.0,0.0,3655,180000.0,1,-1,-1,-1
0,43,7,1.0,1.0,17.0,67.0,2.0,1.0,3.0,14.0,open_balcony,1,euro_renovation,1.0,2.0,0.0,217,1900.0,1,-1,152,-1
